0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
Primrose,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27049,0x0,0x2b11e,0x2c7fb,0x2c4e9,0xa538,0xa628,0xb5,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x4a,0x4a,0x4a,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Quill,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27058,0x0,0x2b0fb,0x2c80b,0x2c4e9,0xa538,0xa628,0xb6,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x63,0x63,0x63,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Willow,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27067,0x0,0x2b11e,0x2c81b,0x2c4e9,0xa538,0xa628,0xb7,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x59,0x59,0x59,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Flint,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27076,0x0,0x2b0fb,0x2c82b,0x2c4e9,0xa538,0xa628,0xb8,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x53,0x53,0x53,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sequoia,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27085,0x0,0x2b11e,0x2c83b,0x2c4e9,0xa538,0xa628,0xb9,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x1f,0x1f,0x1f,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Shoga,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27094,0x0,0x2b0fb,0x2c84b,0x2c4e9,0xa538,0xa628,0xba,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd3,0xd3,0xd3,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Anzu,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270a3,0x0,0x2b11e,0x2c85b,0x2c4e9,0xa538,0xa628,0xbb,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd4,0xd4,0xd4,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Inaho,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270b2,0x0,0x2b0fb,0x2c86b,0x2c4e9,0xa538,0xa628,0xbc,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd5,0xd5,0xd5,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Yuzu,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270c1,0x0,0x2b11e,0x2c87b,0x2c4e9,0xa538,0xa628,0xbd,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd6,0xd6,0xd6,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Mugi,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270d0,0x0,0x2b0fb,0x2c88b,0x2c4e9,0xa538,0xa628,0xbe,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd7,0xd7,0xd7,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Umeko,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270df,0x0,0x2b11e,0x2c89b,0x2c4e9,0xa538,0xa628,0xbf,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd8,0xd8,0xd8,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Nori,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270ee,0x0,0x2b0fb,0x2c8ab,0x2c4e9,0xa538,0xa628,0xc0,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd9,0xd9,0xd9,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kurumi,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x270fd,0x0,0x2b11e,0x2c8bb,0x2c4e9,0xa538,0xa628,0xc1,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xda,0xda,0xda,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Naruto,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2710c,0x0,0x2b0fb,0x2c8cb,0x2c4e9,0xa538,0xa628,0xc2,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xcb,0xcb,0xcb,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ringo,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2711b,0x0,0x2b11e,0x2c8db,0x2c4e9,0xa538,0xa628,0xc3,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa4,0xa4,0xa4,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Shoya,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2712a,0x0,0x2b0fb,0x2c8eb,0x2c4e9,0xa538,0xa628,0xc4,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb5,0xb5,0xb5,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kiku,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27139,0x0,0x2b11e,0x2c8fb,0x2c4e9,0xa538,0xa628,0xc5,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x34,0x34,0x34,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Katsuo,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27148,0x0,0x2b0fb,0x2c90b,0x2c4e9,0xa538,0xa628,0xc6,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x35,0x35,0x35,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ayu,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27157,0x0,0x2b11e,0x2c91b,0x2c4e9,0xa538,0xa628,0xc7,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x31,0x31,0x31,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Takeshi,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27166,0x0,0x2b0fb,0x2c92b,0x2c4e9,0xa538,0xa628,0xc8,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x39,0x39,0x39,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Mizuna,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27175,0x0,0x2b11e,0x2c93b,0x2c4e9,0xa538,0xa628,0xc9,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x5d,0x5d,0x5d,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Koumei,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27184,0x0,0x2b0fb,0x2c94b,0x2c4e9,0xa538,0xa628,0xca,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x52,0x52,0x52,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Shiori,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27193,0x0,0x2b11e,0x2c95b,0x2c4e9,0xa538,0xa628,0xcb,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x19,0x19,0x19,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sorrel,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271a2,0x0,0x2b0fb,0x2c96b,0x2c4e9,0xa538,0xa628,0xcc,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb9,0xb9,0xb9,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Rosemary,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271b1,0x0,0x2b11e,0x2c97b,0x2c4e9,0xa538,0xa628,0xcd,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd0,0xd0,0xd0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Bay,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271c0,0x0,0x2b0fb,0x2c98b,0x2c4e9,0xa538,0xa628,0xce,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xdd,0xdd,0xdd,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Anise,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271cf,0x0,0x2b11e,0x2c99b,0x2c4e9,0xa538,0xa628,0xcf,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xde,0xde,0xde,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Saffron,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271de,0x0,0x2b0fb,0x2c9ab,0x2c4e9,0xa538,0xa628,0xd0,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xdf,0xdf,0xdf,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Pepper,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271ed,0x0,0x2b11e,0x2c9bb,0x2c4e9,0xa538,0xa628,0xd1,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xe0,0xe0,0xe0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Basil,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x271fc,0x0,0x2b0fb,0x2c9cb,0x2c4e9,0xa538,0xa628,0xd2,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xe2,0xe2,0xe2,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ginger,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2720b,0x0,0x2b11e,0x2c9db,0x2c4e9,0xa538,0xa628,0xd3,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xe3,0xe3,0xe3,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Clove,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2721a,0x0,0x2b0fb,0x2c9eb,0x2c4e9,0xa538,0xa628,0xd4,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd2,0xd2,0xd2,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Mint,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27229,0x0,0x2b11e,0x2c9fb,0x2c4e9,0xa538,0xa628,0xd5,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xcd,0xcd,0xcd,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Caraway,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27238,0x0,0x2b0fb,0x2ca0b,0x2c4e9,0xa538,0xa628,0xd6,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb8,0xb8,0xb8,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Thyme,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27247,0x0,0x2b11e,0x2ca1b,0x2c4e9,0xa538,0xa628,0xd7,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x33,0x33,0x33,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sage,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27256,0x0,0x2b0fb,0x2ca2b,0x2c4e9,0xa538,0xa628,0xd8,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x36,0x36,0x36,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Cassia,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27265,0x0,0x2b11e,0x2ca3b,0x2c4e9,0xa538,0xa628,0xd9,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x4c,0x4c,0x4c,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Dillan,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27274,0x0,0x2b0fb,0x2ca4b,0x2c4e9,0xa538,0xa628,0xda,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x5b,0x5b,0x5b,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Lavender,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27283,0x0,0x2b11e,0x2ca5b,0x2c4e9,0xa538,0xa628,0xdb,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x70,0x70,0x70,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Fenn,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x27292,0x0,0x2b0fb,0x2ca6b,0x2c4e9,0xa538,0xa628,0xdc,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x54,0x54,0x54,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Perilla,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272a1,0x0,0x2b11e,0x2ca7b,0x2c4e9,0xa538,0xa628,0xdd,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x20,0x20,0x20,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Dimitri,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272b0,0x0,0x2b0fb,0x2ca8b,0x2c4e9,0xa538,0xa628,0xde,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa6,0xa6,0xa6,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Alexa,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272bf,0x0,0x2b11e,0x2ca9b,0x2c4e9,0xa538,0xa628,0xdf,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xd1,0xd1,0xd1,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Galen,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272ce,0x0,0x2b0fb,0x2caab,0x2c4e9,0xa538,0xa628,0xe0,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x2f,0x2f,0x2f,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Althaea,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272dd,0x0,0x2b11e,0x2cabb,0x2c4e9,0xa538,0xa628,0xe1,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x2d,0x2d,0x2d,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Damien,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x272ec,0x0,0x2b0fb,0x2cacb,0x2c4e9,0xa538,0xa628,0xe2,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x9,0x9,0x9,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
